Stock_IdType,Stock_Id,PriceDate,PriceInstant,PriceCurrency,LastOrMidPrice,Open,High,Low,Close,Volume,AdjustedOpen,AdjustedHigh,AdjustedLow,AdjustedClose,AdjustedVolume,Dividend,SplitFactor,QuoteTimestamp,LastSaleTimestamp,AskSize,AskPrice,BidPrice,BidSize,LastPrice,LastSize,PrevClosePrice,MidPrice
Ticker,LAD,2020-02-13,,USD,130.87,126.74,132.5656,126.74,130.87,260728,126.74,132.5656,126.74,130.87,260728,0,,,,,,,,,,,
Ticker,WST,2020-02-13,,USD,174.38,165.46,175.11,165.46,174.38,615016,165.46,175.11,165.46,174.38,615016,0,,,,,,,,,,,
Ticker,VNO,2020-02-13,,USD,67.7,67.11,67.85,67.11,67.7,899613,67.11,67.85,67.11,67.7,899613,0,,,,,,,,,,,
Ticker,DAN,2020-02-13,,USD,17.91,16.9,17.95,16.9,17.91,1956186,16.9,17.95,16.9,17.91,1956186,0,,,,,,,,,,,
Ticker,SRC,2020-02-13,,USD,53.24,52.75,53.6,52.75,53.24,414766,52.75,53.6,52.75,53.24,414766,0,,,,,,,,,,,
Ticker,CSV,2020-02-13,,USD,24.75,24.52,24.76,24.38,24.75,38514,24.52,24.76,24.38,24.75,38514,0,,,,,,,,,,,
Ticker,BIG,2020-02-13,,USD,25.79,26.78,27.06,25.76,25.79,1022625,26.78,27.06,25.76,25.79,1022625,0,,,,,,,,,,,
Ticker,OII,2020-02-13,,USD,13.03,13.15,13.36,12.77,13.03,1135809,13.15,13.36,12.77,13.03,1135809,0,,,,,,,,,,,
Ticker,TCI,2020-02-13,,USD,34.25,33.59,34.25,33.59,34.25,493,33.59,34.25,33.59,34.25,493,0,,,,,,,,,,,
Ticker,NLSN,2020-02-13,,USD,21.6,21.75,21.75,21.45,21.6,2648252,21.75,21.75,21.45,21.6,2648252,0,,,,,,,,,,,
